Name,Vmag,Sp. Type,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],MASK,Investigation IDs,LC TPF – 10.1,LC TPF – 10.2,LC 10.1 Halo Lightcurve,LC 10.1 Lightcurve Image,LC 10.1 Weight Image,LC 10.1 Flux Image,LC 10.2 Halo Lightcurve,LC 10.2 Lightcurve Image,LC 10.2 Weight Image,LC 10.2 Flux Image,Stiched LC light curve,Project,Contact,Publication,Comments,LC TPF – 11.1,LC TPF – 11.2,SC TPF – 11.1,SC TPF – 11.2,LC 11.1 Halo Lightcurve,LC 11.1 Lightcurve Image,LC 11.1 Weight Image,LC 11.1 Flux Image,LC 11.2 Halo Lightcurve,LC 11.2 Lightcurve Image,LC 11.2 Weight Image,LC 11.2 Flux Image,LC TPF – 9.1,LC TPF – 9.2,LC 9.1 Halo Lightcurve,LC 9.1 Lightcurve Image,LC 9.1 Weight Image,LC 9.1 Flux Image,LC 9.2 Halo Lightcurve,LC 9.2 Lightcurve Image,LC 9.2 Weight Image,LC 9.2 Flux Image,LC TPF,Halo Lightcurve,Lightcurve Image,Weight Image,Flux Image,TPF,LC Halo Lightcurve,RA (J2000),Dec (J2000)
Porrima,2.74,F1V+F0mF2V,200084004,190.41486,-1.449475,Halo,GO10025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaniah,3.9,A2IV,200084005,184.97638,-0.667183,Halo,GO10025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Vir,5.48,B9V,200084006,188.444462,-9.452253,Halo,GO10025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FW Vir,5.71,M3+IIICa0.5,200084007,189.593819,1.854722,Halo,GO10025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 4837,5.918,G8III,200084008,190.908208,-1.57638,Halo,GO10025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 4591,6.316,K1III,200084009,180.256803,-1.768302,Halo,GO10025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 4613,6.364,G8/K0III,200084010,181.499356,-3.131519,Halo,GO10025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 107794,6.46,K0III,200084011,185.814177,-4.974539,Halo,GO10025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tet Oph,3.26,OB,200128906,260.502159,-24.999975,Halo,GO11047_LC,,,,,,,,,,,tet_Oph_C11_halo_o1_stitch.txt,,,,,KTWO200128906-C111,KTWO200147344-C112,,,tet_Oph_C111halo_lc_o1.fits,tet_Oph_C111halo_lc_o1.png,tet_Oph_C111_weightmap_o1_sub1.png,tet_Oph_C111_fluxmap_o1_sub1.png,tet_Oph_C112halo_lc_o1.fits,tet_Oph_C112halo_lc_o1.png,tet_Oph_C112_weightmap_o1_sub1.png,tet_Oph_C112_fluxmap_o1_sub1.png,,,,,,,,,,,,,,,,,,,
44 Oph,4.153,kA5hA9mF1III,200128907,261.592348,-24.17599,Halo,GO11047_LC,,,,,,,,,,,44_Oph_C11_halo_o1_stitch.txt,,,,,KTWO200128907-C111,KTWO200147345-C112,,,44_Oph_C111halo_lc_o1.fits,44_Oph_C111halo_lc_o1.png,44_Oph_C111_weightmap_o1_sub1.png,44_Oph_C111_fluxmap_o1_sub1.png,44_Oph_C112halo_lc_o1.fits,44_Oph_C112halo_lc_o1.png,44_Oph_C112_weightmap_o1_sub1.png,44_Oph_C112_fluxmap_o1_sub1.png,,,,,,,,,,,,,,,,,,,
45 Oph,4.269,F5III-IV,200128908,261.837707,-29.868083,Halo,GO11047_LC,,,,,,,,,,,45_Oph_C11_halo_o1_stitch.txt,,,,,KTWO200128908-C111,KTWO200147346-C112,,,45_Oph_C111halo_lc_o1.fits,45_Oph_C111halo_lc_o1.png,45_Oph_C111_weightmap_o1_sub1.png,45_Oph_C111_fluxmap_o1_sub1.png,45_Oph_C112halo_lc_o1.fits,45_Oph_C112halo_lc_o1.png,45_Oph_C112_weightmap_o1_sub1.png,45_Oph_C112_fluxmap_o1_sub1.png,,,,,,,,,,,,,,,,,,,
51 Oph,4.81,A0V,200128909,262.85357,-23.963494,Halo,GO11047_LC,,,,,,,,,,,51_Oph_C11_halo_o1_stitch.txt,,,,,KTWO200128909-C111,KTWO200147347-C112,,,51_Oph_C111halo_lc_o1.fits,51_Oph_C111halo_lc_o1.png,51_Oph_C111_weightmap_o1_sub1.png,51_Oph_C111_fluxmap_o1_sub1.png,51_Oph_C112halo_lc_o1.fits,51_Oph_C112halo_lc_o1.png,51_Oph_C112_weightmap_o1_sub1.png,51_Oph_C112_fluxmap_o1_sub1.png,,,,,,,,,,,,,,,,,,,
36 Oph,5.03,K2V+K1V,200129035,258.83327,-26.604429,Halo,GO11047_SC,,,,,,,,,,,36_Oph_C11_halo_o1_stitch.txt,,,,,KTWO200129035-C111,KTWO200147465-C112,KTWO200129035-C111,KTWO200147465-C112,36_Oph_C111halo_lc_o1.fits,36_Oph_C111halo_lc_o1.png,36_Oph_C111_weightmap_o1_sub1.png,36_Oph_C111_fluxmap_o1_sub1.png,36_Oph_C112halo_lc_o1.fits,36_Oph_C112halo_lc_o1.png,36_Oph_C112_weightmap_o1_sub1.png,36_Oph_C112_fluxmap_o1_sub1.png,,,,,,,,,,,,,,,,,,,
omi Oph,5.2,G8III + F6IV-V,200128910,259.502324,-24.286539,Halo,GO11047_LC,,,,,,,,,,,omi_Oph_C11_halo_o1_stitch.txt,,,,,KTWO200128910-C111,KTWO200147348-C112,,,omi_Oph_C111halo_lc_o1.fits,omi_Oph_C111halo_lc_o1.png,omi_Oph_C111_weightmap_o1_sub1.png,omi_Oph_C111_fluxmap_o1_sub1.png,omi_Oph_C112halo_lc_o1.fits,omi_Oph_C112halo_lc_o1.png,omi_Oph_C112_weightmap_o1_sub1.png,omi_Oph_C112_fluxmap_o1_sub1.png,,,,,,,,,,,,,,,,,,,
26 Oph,5.731,F3V,200129034,255.039748,-24.989128,Halo,GO11047_SC,,,,,,,,,,,26_Oph_C11_halo_o1_stitch.txt,,,,,KTWO200129034-C111,KTWO200147464-C112,KTWO200129034-C111,KTWO200147464-C112,26_Oph_C111halo_lc_o1.fits,26_Oph_C111halo_lc_o1.png,26_Oph_C111_weightmap_o1_sub1.png,26_Oph_C111_fluxmap_o1_sub1.png,26_Oph_C112halo_lc_o1.fits,26_Oph_C112halo_lc_o1.png,26_Oph_C112_weightmap_o1_sub1.png,26_Oph_C112_fluxmap_o1_sub1.png,,,,,,,,,,,,,,,,,,,
HR 6472,5.83,K0III,200128911,261.174968,-21.441283,Halo,GO11047_LC,,,,,,,,,,,HR_6472_C11_halo_o1_stitch.txt,,,,,KTWO200128911-C111,KTWO200147349-C112,,,HR_6472_C111halo_lc_o1.fits,HR_6472_C111halo_lc_o1.png,HR_6472_C111_weightmap_o1_sub1.png,HR_6472_C111_fluxmap_o1_sub1.png,HR_6472_C112halo_lc_o1.fits,HR_6472_C112halo_lc_o1.png,HR_6472_C112_weightmap_o1_sub1.png,HR_6472_C112_fluxmap_o1_sub1.png,,,,,,,,,,,,,,,,,,,
HR 6366,5.911,Fm,200128913,257.196761,-30.403635,Halo,GO11047_LC,,,,,,,,,,,HR_6366_C11_halo_o1_stitch.txt,,,,,KTWO200128913-C111,KTWO200147351-C112,,,HR_6366_C111halo_lc_o1.fits,HR_6366_C111halo_lc_o1.png,HR_6366_C111_weightmap_o1_sub1.png,HR_6366_C111_fluxmap_o1_sub1.png,HR_6366_C112halo_lc_o1.fits,HR_6366_C112halo_lc_o1.png,HR_6366_C112_weightmap_o1_sub1.png,HR_6366_C112_fluxmap_o1_sub1.png,,,,,,,,,,,,,,,,,,,
HR 6365,5.977,K0III,200128912,257.062511,-17.608806,Halo,GO11047_LC,,,,,,,,,,,HR_6365_C11_halo_o1_stitch.txt,,,,,KTWO200128912-C111,KTWO200147350-C112,,,HR_6365_C111halo_lc_o1.fits,HR_6365_C111halo_lc_o1.png,HR_6365_C111_weightmap_o1_sub1.png,HR_6365_C111_fluxmap_o1_sub1.png,HR_6365_C112halo_lc_o1.fits,HR_6365_C112halo_lc_o1.png,HR_6365_C112_weightmap_o1_sub1.png,HR_6365_C112_fluxmap_o1_sub1.png,,,,,,,,,,,,,,,,,,,
191 Oph,6.171,K0III,200128914,261.275705,-24.243761,Halo,GO11047_LC,,,,,,,,,,,191_Oph_C11_halo_o1_stitch.txt,,,,,KTWO200128914-C111,KTWO200147352-C112,,,191_Oph_C111halo_lc_o1.fits,191_Oph_C111halo_lc_o1.png,191_Oph_C111_weightmap_o1_sub1.png,191_Oph_C111_fluxmap_o1_sub1.png,191_Oph_C112halo_lc_o1.fits,191_Oph_C112halo_lc_o1.png,191_Oph_C112_weightmap_o1_sub1.png,191_Oph_C112_fluxmap_o1_sub1.png,,,,,,,,,,,,,,,,,,,
HR 6766,4.56,G7:IIIbCN-1CH-3.5HK+1,200069361,272.021137,-28.457424,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 6842,4.627,K3II,200069360,274.513094,-27.04213,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Sgr,4.724,A0,200069357,269.947601,-23.815818,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Sgr,4.98,K0III,200069358,272.931094,-23.701391,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Sgr,5.34,F2II-III,200069362,270.713151,-24.282028,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Sgr,5.37,O9.7Iab,200069359,273.80418,-20.728554,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 6838,5.75,K2III,200069363,274.298269,-17.37435,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y Sgr,5.75,F8II,200069364,275.34515,-18.859826,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 6716,5.77,B0Iab/b,200069365,270.476773,-22.780204,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 6681,5.929,A0V,200069366,269.079263,-15.812584,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 Sgr,5.97,O4V((f))z,200069368,270.968745,-24.361063,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Sgr,6.02,O9.5III,200069367,273.803883,-20.388154,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 6825,6.15,ApSi,200069369,273.877872,-18.661964,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 Oph,6.2,O8II((f)),200069370,268.725668,-24.886798,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 6679,6.469,A1V,200069373,268.97931,-18.801918,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 165784,6.58,A2Iab,200069371,272.161183,-21.44927,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 161083,6.58,F0V,200069374,266.100216,-22.194983,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Sgr,6.64,K0III,200069372,270.048298,-24.284432,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 167576,6.66,K1III,200069378,274.239359,-27.716096,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 6773,6.71,B3/5IV,200069380,272.225749,-25.473139,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 163296,6.85,A1Vep,200071159,269.088907,-21.956371,Halo,GO9923_SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 165052,6.87,O5.5:Vz+O8:V,200069379,271.293504,-24.398154,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Sgr,6.886,G8/K0III,200069375,274.147867,-20.544369,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 169966,6.97,G8/K0III,200069376,277.029565,-22.999934,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 162030,7.02,K1III,200069377,267.489563,-24.207101,Halo,GO9923_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldebaran,0.86,K5III,200173843,68.980934,16.509007,LC Halo,GO13047_LC,,,,,,,,,,,,Aldebaran,Farr/Pope,Farr et al 2018,\tablenotemark{c},,,,,,,,,,,,,,,,,,,,,,,KTWO200173843-C13,,,,,,,,
tet2 Tau,3.41,A7III,200173845,67.165927,15.87053,LC Halo,GO13023_LC|GO13025_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13122_LC,,,,,,,,,,,,Hyades dSct,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173845-C13,,,,,,,,
tet1 Tau,3.84,G9IIIFe-0.5,200173846,67.14417,15.961688,LC Halo,GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13083_LC,,,,,,,,,,,,Hyades giants,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173846-C13,,,,,,,,
kap1 Tau,4.201,A7IV-V,200173847,66.342857,22.293035,LC Halo,GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC,,,,,,,,,,,,Hyades dSct,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173847-C13,,,,,,,,
del3 Tau,4.25,A2IV-Vs,200173849,66.372261,17.926961,LC Halo,GO13023_LC|GO13036_LC|GO13039_LC|GO13047_LC|GO13077_LC,,,,,,,,,,,,Hyades dSct,,,C4,,,,,,,,,,,,,,,,,,,,,,,KTWO200173849-C13,,,,,,,,
tau Tau,4.258,B3V,200173850,70.557694,22.954783,LC Halo,GO13047_LC|GO13122_LC|GO13127_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173850-C13,,,,,,,,
ups Tau,4.282,A8Vn,200173848,66.577858,22.812849,LC Halo,GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13122_LC,,,,,,,,,,,,Hyades dSct,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173848-C13,,,,,,,,
rho Tau,4.65,A8V,200173851,68.456844,14.858859,LC Halo,GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13122_LC,,,,,,,,,,,,Hyades dSct,,,At CCD edge; practically unusable,,,,,,,,,,,,,,,,,,,,,,,KTWO200173851-C13,,,,,,,,
11 Ori,4.661,A1VpSiCr,200173853,76.142365,15.403705,LC Halo,GO13047_LC|GO13122_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173853-C13,,,,,,,,
HR 1427,4.764,A6IV,200173855,67.640376,16.193275,LC Halo,GO13006_LC|GO13023_LC|GO13025_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13122_LC,,,,,,,,,,,,Hyades dSct,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173855-C13,,,,,,,,
15 Ori,4.82,F2IV,200173854,77.42463,15.597631,LC Halo,GO13047_LC|GO13122_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173854-C13,,,,,,,,
75 Tau,4.969,K1IIIb,200173852,67.110364,16.359293,LC Halo,GO13039_LC|GO13047_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173852-C13,,,,,,,,
97 Tau,5.085,A7IV-V,200173857,72.84359,18.840322,LC Halo,GO13019_LC|GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC,,,,,,,,,,,,Hyades dSct,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173857-C13,,,,,,,,
HR 1684,5.163,K5III,200173856,77.923187,16.045798,LC Halo,GO13047_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173856-C13,,,,,,,,
kap2 Tau,5.264,A7V,200173859,66.354939,22.199235,LC Halo,GO13019_LC|GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13122_LC,,,,,,,,,,,,Hyades dSct,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173859-C13,,,,,,,,
56 Tau,5.346,A0VpSi,200173861,64.90355,21.772847,LC Halo,GO13019_LC|GO13047_LC|GO13122_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173861-C13,,,,,,,,
81 Tau,5.454,Am,200173860,67.662125,15.691144,LC Halo,GO13006_LC|GO13019_LC|GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC,,,,,,,,,,,,Hyades dSct,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173860-C13,,,,,,,,
53 Tau,5.482,B9Vsp,200173864,64.859035,21.141481,LC Halo,GO13019_LC|GO13039_LC|GO13047_LC|GO13122_LC|GO13127_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173864-C13,,,,,,,,
HR 1585,5.49,K1III,200173858,74.343209,17.152963,LC Halo,GO13047_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173858-C13,,,,,,,,
80 Tau,5.552,F0V+G2V,200173866,67.536514,15.637471,LC Halo,GO13019_LC|GO13023_LC|GO13036_LC|GO13039_LC|GO13047_LC|GO13077_LC,,,,,,,,,,,,Hyades dSct,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173866-C13,,,,,,,,
51 Tau,5.631,F0V,200173865,64.597374,21.578461,LC Halo,GO13019_LC|GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13122_LC,,,,,,,,,,,,Hyades dSct,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173865-C13,,,,,,,,
HR 1403,5.711,Am,200173867,67.004481,21.619624,LC Halo,GO13019_LC|GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13122_LC,,,,,,,,,,,,Hyades dSct,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173867-C13,,,,,,,,
89 Tau,5.776,F0V,200173868,69.540041,16.032569,LC Halo,GO13019_LC|GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC,,,,,,,,,,,,Hyades dSct,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173868-C13,,,,,,,,
HR 1576,5.776,B9V,200173871,73.959576,15.038117,LC Halo,GO13019_LC|GO13047_LC|GO13122_LC|GO13127_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173871-C13,,,,,,,,
98 Tau,5.785,A0V,200173870,74.539067,25.050123,LC Halo,GO13019_LC|GO13039_LC|GO13047_LC|GO13122_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173870-C13,,,,,,,,
99 Tau,5.806,G8III:,200173862,74.45255,23.948656,LC Halo,GO13019_LC|GO13047_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173862-C13,,,,,,,,
105 Tau,5.92,B2Ve,200173869,76.981141,21.704531,LC Halo,GO13019_LC|GO13047_LC|GO13122_LC|GO13127_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173869-C13,,,,,,,,
HR 1554,5.961,F2IV,200173874,73.195975,27.897278,LC Halo,GO13019_LC|GO13024_LC|GO13047_LC|GO13083_LC|GO13122_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173874-C13,,,,,,,,
