Name,Vmag,Sp. Type,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],MASK,Investigation IDs,LC TPF – 10.1,LC TPF – 10.2,LC 10.1 Halo Lightcurve,LC 10.1 Lightcurve Image,LC 10.1 Weight Image,LC 10.1 Flux Image,LC 10.2 Halo Lightcurve,LC 10.2 Lightcurve Image,LC 10.2 Weight Image,LC 10.2 Flux Image,Stiched LC light curve,Project,Contact,Publication,Comments,LC TPF – 11.1,LC TPF – 11.2,SC TPF – 11.1,SC TPF – 11.2,LC 11.1 Halo Lightcurve,LC 11.1 Lightcurve Image,LC 11.1 Weight Image,LC 11.1 Flux Image,LC 11.2 Halo Lightcurve,LC 11.2 Lightcurve Image,LC 11.2 Weight Image,LC 11.2 Flux Image,LC TPF – 9.1,LC TPF – 9.2,LC 9.1 Halo Lightcurve,LC 9.1 Lightcurve Image,LC 9.1 Weight Image,LC 9.1 Flux Image,LC 9.2 Halo Lightcurve,LC 9.2 Lightcurve Image,LC 9.2 Weight Image,LC 9.2 Flux Image,LC TPF,Halo Lightcurve,Lightcurve Image,Weight Image,Flux Image,TPF,LC Halo Lightcurve,RA (J2000),Dec (J2000)
HR 1385,5.965,F4V,200173875,66.238157,19.041326,LC Halo,GO13019_LC|GO13023_LC|GO13024_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13122_LC|GO13902_LC|GO13903_LC|GO13904_LC,,,,,,,,,,,,Hyades dSct,,,C4,,,,,,,,,,,,,,,,,,,,,,,KTWO200173875-C13,,,,,,,,
HR 1741,6.107,K0III,200173873,79.811052,20.133961,LC Halo,GO13019_LC|GO13036_LC|GO13047_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173873-C13,,,,,,,,
HR 1633,6.188,K0,200173872,76.090102,21.277497,LC Halo,GO13047_LC|GO13123_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173872-C13,,,,,,,,
HR 1755,6.205,K0III,200173876,80.236334,19.814277,LC Halo,GO13047_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200173876-C13,,,,,,,,
kap Psc,4.94,A2VpSrCrSi,200164167,351.732716,1.255165,Halo,GO12047_LC|GO12103_LC|GO12039_LC|GO12122_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200164167-C12,kap_Pschalo_lc_o1.fits,kap_Pschalo_lc_o1.png,kap_Psc_weightmap_o1_sub1.png,kap_Psc_fluxmap_o1_sub1.png,,,,
83 Aqr,5.47,F0V,200164168,346.291555,-7.693773,Halo,GO12047_LC|GO12039_LC|GO12122_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200164168-C12,83_Aqrhalo_lc_o1.fits,83_Aqrhalo_lc_o1.png,83_Aqr_weightmap_o1_sub1.png,83_Aqr_fluxmap_o1_sub1.png,,,,
24 Psc,5.94,K0II/III,200164169,358.231585,-3.155866,Halo,GO12047_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200164169-C12,24_Pschalo_lc_o1.fits,24_Pschalo_lc_o1.png,24_Psc_weightmap_o1_sub1.png,24_Psc_fluxmap_o1_sub1.png,,,,
HR 8759,5.933,G5II/III,200164170,345.382614,-4.711516,Halo,GO12047_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200164170-C12,HR_8759halo_lc_o1.fits,HR_8759halo_lc_o1.png,HR_8759_weightmap_o1_sub1.png,HR_8759_fluxmap_o1_sub1.png,,,,
14 Psc,5.87,A2II,200164171,353.53746,-1.247154,Halo,GO12047_LC|GO12039_LC|GO12122_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200164171-C12,14_Pschalo_lc_o1.fits,14_Pschalo_lc_o1.png,14_Psc_weightmap_o1_sub1.png,14_Psc_fluxmap_o1_sub1.png,,,,
HR 8921,6.191,K4/5III,200164172,352.25226,-9.266444,Halo,GO12047_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200164172-C12,HR_8921halo_lc_o1.fits,HR_8921halo_lc_o1.png,HR_8921_weightmap_o1_sub1.png,HR_8921_fluxmap_o1_sub1.png,,,,
81 Aqr,6.215,K4III,200164173,345.348622,-7.061254,Halo,GO12047_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200164173-C12,81_Aqrhalo_lc_o1.fits,81_Aqrhalo_lc_o1.png,81_Aqr_weightmap_o1_sub1.png,81_Aqr_fluxmap_o1_sub1.png,,,,
HR 8897,6.34,K4III,200164174,350.883513,0.290695,Halo,GO12047_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200164174-C12,HR_8897halo_lc_o1.fits,HR_8897halo_lc_o1.png,HR_8897_weightmap_o1_sub1.png,HR_8897_fluxmap_o1_sub1.png,,,,
eps Psc,4.28,G9IIIbFe-2,200068392,15.736117,7.889231,Halo,GO8025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revati,5.187,A7IV,200068393,18.43412,7.574624,Halo,GO8025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80 Psc,5.5,F2V,200068394,17.091325,5.648604,Halo,GO8025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42 Cet,5.87,G8III-IV+A7IV,200068399,19.951281,-0.509707,Halo,GO8025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33 Cet,5.942,K4/5III,200068395,17.639603,2.445331,Halo,GO8025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60 Psc,5.961,G8III,200068396,11.848427,6.740724,Halo,GO8025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73 Psc,6.007,K5III,200068397,16.219136,5.656351,Halo,GO8025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW Psc,6.14,M2.5III,200068398,14.957207,6.483094,Halo,GO8025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 243,6.368,G8/K0II/III,200068400,12.826105,3.38449,Halo,GO8025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 161,6.407,K3III,200068401,9.377393,3.135111,Halo,GO8025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asellus Australis,3.94,K0+IIIb,200200356,131.1712467,18.154306,Halo,GO16003|GO16063|DELTA_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asellus_Australishalo_lc_o1.fits,Asellus_Australishalo_lc_o1.png,Asellus_Australis_weightmap_o1_sub1.png,Asellus_Australis_fluxmap_o1_sub1.png,KTWO200200356-C16,,,
Acubens ,4.249,kA7VmF0/2III/IVSr,200200357,134.6217613,11.85770033,Halo,GO16001|GO16003|GO16021|GO16063|ALPHA_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acubenshalo_lc_o1.fits,Acubenshalo_lc_o1.png,Acubens_weightmap_o1_sub1.png,Acubens_fluxmap_o1_sub1.png,KTWO200200357-C16,,,
ksi Cnc,5.149,G8.5IIIFe-0.5CH-1,200200358,137.3397219,22.04544592,Halo,GO16003|XI_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ksi_Cnchalo_lc_o1.fits,ksi_Cnchalo_lc_o1.png,ksi_Cnc_weightmap_o1_sub1.png,ksi_Cnc_fluxmap_o1_sub1.png,KTWO200200358-C16,,,
omi1 Cnc,5.22,A5III,200200360,134.3122908,15.3227667,Halo,GO16003|GO16021|GO16063|OMICRON1_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,omi1_Cnchalo_lc_o1.fits,omi1_Cnchalo_lc_o1.png,omi1_Cnc_weightmap_o1_sub1.png,omi1_Cnc_fluxmap_o1_sub1.png,KTWO200200360-C16,,,
eta Cnc,5.325,K3III,200200359,128.1770667,20.44116292,Halo,GO16003|GO16063|ETA_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eta_Cnchalo_lc_o1.fits,eta_Cnchalo_lc_o1.png,eta_Cnc_weightmap_o1_sub1.png,eta_Cnc_fluxmap_o1_sub1.png,KTWO200200359-C16,,,
45 Cnc,5.65,A3III:+G7III,200200728,130.8013754,12.68087381,Halo,GO16003|GO16081|45_CANCRI-SC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45_Cnchalo_lc_o1.fits,45_Cnchalo_lc_o1.png,45_Cnc_weightmap_o1_sub1.png,45_Cnc_fluxmap_o1_sub1.png,KTWO200200728-C16,,,
45 Cnc,5.65,A3III:+G7III,200200728,130.8013754,12.68087381,SC Halo,GO16003|GO16081|45_CANCRI-SC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45_Cnc_schalo_lc_o1.fits,45_Cnc_schalo_lc_o1.png,45_Cnc_sc_weightmap_o1_sub1.png,45_Cnc_sc_fluxmap_o1_sub1.png,KTWO200200728-C16,,,
omi2 Cnc,5.677,F0IV,200200361,134.3966669,15.58128181,Halo,GO16003|GO16021|GO16063|OMICRON2_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,omi2_Cnchalo_lc_o1.fits,omi2_Cnchalo_lc_o1.png,omi2_Cnc_weightmap_o1_sub1.png,omi2_Cnc_fluxmap_o1_sub1.png,KTWO200200361-C16,,,
50 Cnc,5.885,A1Vp,200200363,131.7334112,12.10995057,Halo,GO16003|GO16021|GO16063|50_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50_Cnchalo_lc_o1.fits,50_Cnchalo_lc_o1.png,50_Cnc_weightmap_o1_sub1.png,50_Cnc_fluxmap_o1_sub1.png,KTWO200200363-C16,,,
82 Vir,5.01,M1+III,200213053,205.4032356,-8.70298448,Halo,GO17051|82_VIR-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76 Vir,5.21,G8III,200213054,203.2419673,-10.16500253,Halo,GO17038|GO17051|GO17068|76_VIR-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68 Vir,5.25,K5III,200213055,201.6798633,-12.70766332,Halo,GO17051|68_VIR-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80 Vir,5.706,K0III,200213056,203.8804021,-5.39619162,Halo,GO17038|GO17051|GO17068|80_VIR-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 5106,5.932,A0V,200213057,203.6685425,-13.21432544,Halo,GO17051|HR_5106-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 5059,5.965,A8V,200213058,201.5475623,-1.19247178,Halo,GO17051|HR_5059-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dschubba,2.32,B0.3IV,200194910,240.0833554,-22.62170643,Halo,GO15001|GO15003|GO15023|DELTA_SCO-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200194910-C15,,,
Zubenelhakrabi,3.91,G8.5III,200194911,233.8815784,-14.78953551,Halo,GO15001|GO15003|GO15063|GAMMA_LIB-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200194911-C15,,,
iot1 Lib,4.54,B9IVpSi,200194912,228.0553761,-19.7917109,Halo,GO15001|GO15003|GO15021|IOTA1_LIB-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,\tablenotemark{b},,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200194912-C15,,,
41 Lib,5.359,G8III/IV,200194913,234.7273243,-19.30189583,Halo,GO15001|GO15003|GO15063|41_LIB-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200194913-C15,,,
zet4 Lib,5.499,B3V,200194914,233.2300896,-16.85284783,Halo,GO15003|GO15021|GO15023|ZETA4_LIB-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200194914-C15,,,
HR 5762,5.52,A2IV,200194915,233.1529208,-19.6704581,Halo,GO15003|GO15021|GO15023|GO15063|HR_5762-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200194915-C15,,,
HR 5806,5.79,K0III,200194916,234.4501566,-23.1416961,Halo,GO15003|GO15063|HR_5806-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200194916-C15,,,
zet3 Lib,5.806,K0III,200194917,232.6683426,-16.60946629,Halo,GO15003|ZETA3_LIB-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200194917-C15,,,
HR 5810,5.816,K0III,200194918,234.5678373,-21.01632868,Halo,GO15003|GO15063|HR_5810-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200194918-C15,,,
iot2 Lib,6.066,A2V,200194919,228.3299554,-19.6475503,Halo,GO15003|IOTA2_LIB-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,\tablenotemark{b},,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200194919-C15,,,
HR 5620,6.14,K0III,200194920,226.6130965,-22.03182838,Halo,GO15003|GO15004|GO15063|HR_5620-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200194920-C15,,,
28 Lib,6.17,G8II/III,200194921,230.2236529,-18.15865908,Halo,GO15003|28_LIB-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200194921-C15,,,
HD 138810,7.02,K1(III)(+G),200194958,233.7482933,-17.13883858,Halo,GO15003_LC|GO15001_LC|HD_138810-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200194958-C15,,,
rho Leo,3.87,B1Iab,200182931,158.2027987,9.30658596,Halo,GO14001|GO14050,,,,,,,,,,,,rho Leo,Aerts/Moravveji,Aerts et al (2018),\tablenotemark{e},,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200182931-C14,,,
58 Leo,4.838,K0.5IIIFe-0.5,200182925,165.140102,3.617234,Halo,GO14001|GO14003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200182925-C14,,,
48 Leo,5.07,G8.5IIIFe-1,200182926,158.700527,6.953542,Halo,GO14001|GO14003|GO14052|GO14063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200182926-C14,,,
53 Leo,5.312,A2V,200182928,162.314054,10.545122,Halo,GO14003|GO14021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200182928-C14,,,
65 Leo,5.52,K0III,200182927,166.725448,1.955523,Halo,GO14001|GO14003|GO14004|GO14063|GO14068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200182927-C14,,,
35 Sex,5.79,K2II-III+K1II-III,200182929,160.836978,4.747282,Halo,GO14001|GO14003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200182929-C14,,,
43 Leo,6.08,K3III,200182930,155.751349,6.541923,Halo,GO14003|GO14063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTWO200182930-C14,,,
gam Cnc,4.652,A1IV,200233186,130.8214508,21.46850022,Halo,GO18038|GO18051|GAMMA_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zet Cnc,4.67,F8V+G0V,200233643,123.0530265,17.64776708,Halo,GO18038|GO18051|ZETA_CANCRI-SC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60 Cnc,5.44,K5III,200233188,133.98145,11.62602,Halo,GO18051|GO18068|60_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,"C5, C16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49 Cnc,5.66,A1VpHgMnSiEu,200233189,131.1876504,10.08166753,Halo,GO18049|GO18051|GO18067|49_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 3264,5.798,K1III,200233190,125.08739,20.74772,Halo,GO18051|GO18068|HR_3264-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Cnc,5.948,A5V,200233192,127.1555775,14.21082345,Halo,GO18049|GO18051|29_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 3222,6.047,G8III,200233193,123.2488715,16.51431877,Halo,GO18051|HR_3222-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Cnc,6.08,M2III,200233196,125.9800391,10.63205666,Halo,GO18051|GO18067|21_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Cnc,6.1,F5IIIm?,200233644,126.45782,17.04627,Halo,GO18036|GO18038|GO18049|GO18051|GO18066|25_CANCRI-SC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 3558,6.146,K1III,200233195,134.284504,17.14374897,Halo,GO18051|HR_3558-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 3541,6.4,"C6,4",200233194,133.84534,17.23128,Halo,GO18017|GO18051|X_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,,,,,,,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcyone,2.986,B7III,200007767,,,LC Halo,,,,,,,,,,,,,,,,\tablenotemark{a},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas,3.763,B8III,200007768,,,LC Halo,,,,,,,,,,,,,,,,\tablenotemark{a},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electra,3.851,B6IIIe,200007769,,,LC Halo,,,,,,,,,,,,,,,,\tablenotemark{a},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merope,4.305,,200007770,,,LC Halo,,,,,,,,,,,,,,,,\tablenotemark{a},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B6IVe,
Maia,4.305,,200007771,,,LC Halo,,,,,,,,,,,,,,,,\tablenotemark{a},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B8III,
Taygeta,4.448,,200007772,,,LC Halo,,,,,,,,,,,,,,,,\tablenotemark{a},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B6IV,
Pleione,5.192,,200007773,,,LC Halo,,,,,,,,,,,,,,,,\tablenotemark{a},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B8Vne,
gam Tau,3.474,,200007765,,,LC Halo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G9.5III\tablenotemark{1},
del1 Tau,3.585,G9.5IIICN0.5,200007766,,,LC Halo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spica,0.97,B1V,212573842,201.2982483,-11.1613188,Regular,GO6040_LC|GO6081_LC,,,,,,,,,,,,,,,Normal Mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69 Vir,4.75,K0III-IIIbCN1.5CH0.5,212356048,201.8631897,-15.9735813,Regular,GO6081_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascella,2.585,A2.5Va,200062593,285.65184,-29.879815,Halo,GO7081_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albaldah,2.88,F2II-III,200062592,287.441295,-21.024023,Halo,GO7081_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau Sgr,3.31,K1.5IIIb,200062591,286.733938,-27.671395,Halo,GO7081_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksi2 Sgr,3.51,G8/K0II/III,200062590,284.432465,-21.106731,Halo,GO7081_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omi Sgr,3.77,G9IIIb,200062589,286.17119,-21.741407,Halo,GO7081_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 Sgr,4.598,B8/9V,200062585,294.176404,-24.885019,Halo,GO7081_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ainalrami,4.845,K1II,200062588,283.542904,-22.744355,Halo,GO7081_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psi Sgr,4.85,K0/1III+A/F,200062584,288.884973,-25.257284,Halo,GO7081_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43 Sgr,4.878,G8II-III,200062587,289.409117,-18.953224,Halo,GO7081_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu2 Sgr,4.98,K3-II-III:CN1Ba1,200062586,283.779491,-22.671559,Halo,GO7081_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
